"","Clade","total.pd","total.spp","edge.spp","perc.edge.spp","med.edge.loss","perc.edge.loss","group","evo.loss.per.spp"
"1","angiosperms",1445339,335497,9945,2.96,307027,21.2,"plants",0.915140820931335
"2","gymnosperms",12631,1083,282,26.04,1821,14.4,"plants",1.6814404432133
"3","Turtles",6520,351,96,27.35,1701,26,"vertebrates",4.84615384615385
"4","Crocodilians",613,25,7,28,125,20.6,"vertebrates",5
"5","Amphibs",142670,8024,926,11.54,24578,17.4,"vertebrates",3.06306081754736
"6","Lepidosaurs",134253,10735,621,5.78,20147,15,"vertebrates",1.87675826734979
"7","Sharks",41297,1290,75,5.81,6116,14.7,"vertebrates",4.74108527131783
"8","Fish",329935,32760,978,2.99,39370,11.9,"vertebrates",1.20177045177045
"9","Mammals",37068,6253,643,10.28,3725,10,"vertebrates",0.595714057252519
"10","Birds",89747,10988,696,6.33,6103,6.8,"vertebrates",0.55542409901711
