perc.ePDloss,clade
20.63340676,Angiosperms
21.37762806,Angiosperms
21.70132911,Angiosperms
21.1462858,Angiosperms
21.47731691,Angiosperms
20.30081397,Angiosperms
21.39831254,Angiosperms
21.25662462,Angiosperms
21.31796329,Angiosperms
20.62150991,Angiosperms
21.25844808,Angiosperms
21.25377404,Angiosperms
20.58742096,Angiosperms
21.18295904,Angiosperms
21.22621846,Angiosperms
21.29502886,Angiosperms
21.30628727,Angiosperms
20.35314762,Angiosperms
21.46012598,Angiosperms
21.29324879,Angiosperms
21.41501767,Angiosperms
21.34775477,Angiosperms
21.00951988,Angiosperms
21.37547452,Angiosperms
21.27755645,Angiosperms
20.57231587,Angiosperms
21.54930674,Angiosperms
21.4813649,Angiosperms
21.61681888,Angiosperms
21.32840213,Angiosperms
21.45302222,Angiosperms
21.26931465,Angiosperms
21.52266473,Angiosperms
21.41833739,Angiosperms
21.33822782,Angiosperms
21.09907518,Angiosperms
21.48183661,Angiosperms
20.73989117,Angiosperms
21.47296034,Angiosperms
21.41550542,Angiosperms
21.33079512,Angiosperms
21.47992784,Angiosperms
21.32551697,Angiosperms
21.48988683,Angiosperms
21.39598403,Angiosperms
21.11913758,Angiosperms
21.42844339,Angiosperms
20.52736489,Angiosperms
21.24302175,Angiosperms
21.59308512,Angiosperms
21.44896677,Angiosperms
21.39569626,Angiosperms
21.64560742,Angiosperms
20.64579878,Angiosperms
20.63295894,Angiosperms
21.46983906,Angiosperms
21.4347491,Angiosperms
20.73212345,Angiosperms
21.27932975,Angiosperms
21.30675355,Angiosperms
21.5494021,Angiosperms
21.19066556,Angiosperms
21.68206527,Angiosperms
21.45723521,Angiosperms
21.38870055,Angiosperms
20.76318614,Angiosperms
21.53057303,Angiosperms
21.51049549,Angiosperms
20.829136,Angiosperms
21.4027883,Angiosperms
21.48562112,Angiosperms
21.58614845,Angiosperms
21.20199526,Angiosperms
21.1655149,Angiosperms
21.55839436,Angiosperms
21.52920195,Angiosperms
21.4834427,Angiosperms
21.38372458,Angiosperms
20.15783437,Angiosperms
21.48432122,Angiosperms
21.4241073,Angiosperms
21.43617643,Angiosperms
21.45659082,Angiosperms
21.16801938,Angiosperms
21.42740225,Angiosperms
21.49644125,Angiosperms
20.51530763,Angiosperms
21.49602418,Angiosperms
20.99414491,Angiosperms
20.77767325,Angiosperms
20.38111759,Angiosperms
21.2859653,Angiosperms
20.51389834,Angiosperms
21.51299124,Angiosperms
21.41860683,Angiosperms
21.53525873,Angiosperms
21.37964807,Angiosperms
20.63552012,Angiosperms
21.57634326,Angiosperms
21.59026727,Angiosperms
21.32176143,Angiosperms
21.41252572,Angiosperms
20.40315914,Angiosperms
20.2090784,Angiosperms
21.0794656,Angiosperms
21.35821793,Angiosperms
20.66922221,Angiosperms
21.34628705,Angiosperms
21.36955248,Angiosperms
20.41791272,Angiosperms
21.28814119,Angiosperms
21.20351607,Angiosperms
21.34466175,Angiosperms
21.29565956,Angiosperms
21.44436561,Angiosperms
21.38960489,Angiosperms
21.08821091,Angiosperms
21.24982278,Angiosperms
21.12460664,Angiosperms
21.53044636,Angiosperms
21.34858188,Angiosperms
21.03191715,Angiosperms
21.07264336,Angiosperms
21.43458298,Angiosperms
21.11045187,Angiosperms
21.17647835,Angiosperms
21.28514153,Angiosperms
21.49937716,Angiosperms
20.25552866,Angiosperms
20.96607307,Angiosperms
21.5752117,Angiosperms
21.19312753,Angiosperms
21.21016151,Angiosperms
21.18157941,Angiosperms
21.38603915,Angiosperms
20.5596699,Angiosperms
21.26350227,Angiosperms
21.14838768,Angiosperms
20.27742495,Angiosperms
20.37355833,Angiosperms
20.53791539,Angiosperms
21.46196087,Angiosperms
21.32467643,Angiosperms
21.41073794,Angiosperms
20.47168336,Angiosperms
21.14684575,Angiosperms
21.17659165,Angiosperms
20.198242,Angiosperms
21.17634303,Angiosperms
21.34908155,Angiosperms
20.67364632,Angiosperms
21.28101419,Angiosperms
21.33986645,Angiosperms
20.33041744,Angiosperms
20.2306684,Angiosperms
21.28710693,Angiosperms
21.10340463,Angiosperms
20.36747011,Angiosperms
21.19576378,Angiosperms
20.28330933,Angiosperms
20.39467755,Angiosperms
20.29348207,Angiosperms
20.93276209,Angiosperms
21.20403923,Angiosperms
21.55636495,Angiosperms
21.35698173,Angiosperms
21.10524989,Angiosperms
20.49014591,Angiosperms
21.16899862,Angiosperms
20.28742606,Angiosperms
20.69000611,Angiosperms
21.025678,Angiosperms
20.44252141,Angiosperms
20.78252234,Angiosperms
21.13132911,Angiosperms
20.36909691,Angiosperms
21.14719621,Angiosperms
20.35482252,Angiosperms
21.26049412,Angiosperms
20.8943179,Angiosperms
21.18147791,Angiosperms
20.45155861,Angiosperms
21.22344654,Angiosperms
20.54873011,Angiosperms
20.9822119,Angiosperms
21.24057002,Angiosperms
20.36632534,Angiosperms
21.12706016,Angiosperms
21.2492382,Angiosperms
21.35283274,Angiosperms
21.10797697,Angiosperms
21.05778806,Angiosperms
21.07907285,Angiosperms
21.41232285,Angiosperms
21.13752528,Angiosperms
21.07613165,Angiosperms
21.02469179,Angiosperms
21.10516777,Angiosperms
21.16727675,Angiosperms
21.11653135,Angiosperms
14.60364491,Gymnosperms
14.7306032,Gymnosperms
14.64781889,Gymnosperms
14.59703869,Gymnosperms
14.59531103,Gymnosperms
14.2796609,Gymnosperms
13.6839907,Gymnosperms
13.44919823,Gymnosperms
14.01024667,Gymnosperms
14.00519806,Gymnosperms
14.78841154,Gymnosperms
13.97754701,Gymnosperms
14.29226046,Gymnosperms
