"","RL.cat","pext","RL.cat.num"
"1","LC",0.0015976245677024,5e-04
"2","LC",0.00166569778230431,0.001
"3","LC",0.00173373793762194,0.0015
"4","LC",0.00180174504912828,0.002
"5","LC",0.00186971913229564,0.0025
"6","LC",0.00193766020259566,0.003
"7","LC",0.0020055682754993,0.0035
"8","LC",0.00207344336647687,0.004
"9","LC",0.00214128549099798,0.0045
"10","LC",0.00220909466453159,0.005
"11","LC",0.00227687090254597,0.0055
"12","LC",0.00234461422050872,0.006
"13","LC",0.00241232463388677,0.0065
"14","LC",0.00248000215814637,0.007
"15","LC",0.00254764680875312,0.0075
"16","LC",0.00261525860117192,0.008
"17","LC",0.002682837550867,0.0085
"18","LC",0.00275038367330194,0.009
"19","LC",0.00281789698393962,0.0095
"20","LC",0.00288537749824225,0.01
"21","LC",0.00295282523167139,0.0105
"22","LC",0.00302024019968791,0.011
"23","LC",0.003087622417752,0.0115
"24","LC",0.00315497190132318,0.012
"25","LC",0.00322228866586032,0.0125
"26","LC",0.00328957272682159,0.013
"27","LC",0.00335682409966449,0.0135
"28","LC",0.00342404279984586,0.014
"29","LC",0.00349122884282186,0.0145
"30","LC",0.00355838224404797,0.015
"31","LC",0.00362550301897901,0.0155
"32","LC",0.00369259118306911,0.016
"33","LC",0.00375964675177176,0.0165
"34","LC",0.00382666974053973,0.017
"35","LC",0.00389366016482515,0.0175
"36","LC",0.00396061804007947,0.018
"37","LC",0.00402754338175346,0.0185
"38","LC",0.00409443620529723,0.019
"39","LC",0.0041612965261602,0.0195
"40","LC",0.00422812435979113,0.02
"41","LC",0.0042949197216381,0.0205
"42","LC",0.00436168262714852,0.021
"43","LC",0.00442841309176912,0.0215
"44","LC",0.00449511113094598,0.022
"45","LC",0.00456177676012447,0.0225
"46","LC",0.00462840999474932,0.023
"47","LC",0.00469501085026457,0.0235
"48","LC",0.0047615793421136,0.024
"49","LC",0.00482811548573908,0.0245
"50","LC",0.00489461929658306,0.025
"51","LC",0.00496109079008689,0.0255
"52","LC",0.00502752998169124,0.026
"53","LC",0.00509393688683611,0.0265
"54","LC",0.00516031152096084,0.027
"55","LC",0.00522665389950409,0.0275
"56","LC",0.00529296403790385,0.028
"57","LC",0.00535924195159742,0.0285
"58","LC",0.00542548765602145,0.029
"59","LC",0.0054917011666119,0.0295
"60","LC",0.00555788249880406,0.03
"61","LC",0.00562403166803256,0.0305
"62","LC",0.00569014868973134,0.031
"63","LC",0.00575623357933368,0.0315
"64","LC",0.00582228635227218,0.032
"65","LC",0.00588830702397877,0.0325
"66","LC",0.00595429560988469,0.033
"67","LC",0.00602025212542054,0.0335
"68","LC",0.00608617658601622,0.034
"69","LC",0.00615206900710096,0.0345
"70","LC",0.00621792940410333,0.035
"71","LC",0.00628375779245122,0.0355
"72","LC",0.00634955418757185,0.036
"73","LC",0.00641531860489175,0.0365
"74","LC",0.00648105105983679,0.037
"75","LC",0.00654675156783218,0.0375
"76","LC",0.00661242014430244,0.038
"77","LC",0.00667805680467142,0.0385
"78","LC",0.00674366156436228,0.039
"79","LC",0.00680923443879755,0.0395
"80","LC",0.00687477544339905,0.04
"81","LC",0.00694028459358794,0.0405
"82","LC",0.0070057619047847,0.041
"83","LC",0.00707120739240915,0.0415
"84","LC",0.00713662107188042,0.042
"85","LC",0.00720200295861699,0.0425
"86","LC",0.00726735306803663,0.043
"87","LC",0.00733267141555648,0.0435
"88","LC",0.00739795801659297,0.044
"89","LC",0.00746321288656189,0.0445
"90","LC",0.00752843604087833,0.045
"91","LC",0.00759362749495672,0.0455
"92","LC",0.00765878726421081,0.046
"93","LC",0.00772391536405369,0.0465
"94","LC",0.00778901180989776,0.047
"95","LC",0.00785407661715475,0.0475
"96","LC",0.00791910980123574,0.048
"97","LC",0.00798411137755109,0.0485
"98","LC",0.00804908136151055,0.049
"99","LC",0.00811401976852314,0.0495
"100","LC",0.00817892661399722,0.05
"101","LC",0.00824380191334051,0.0505
"102","LC",0.00830864568196002,0.051
"103","LC",0.0083734579352621,0.0515
"104","LC",0.00843823868865243,0.052
"105","LC",0.00850298795753602,0.0525
"106","LC",0.00856770575731718,0.053
"107","LC",0.00863239210339959,0.0535
"108","LC",0.00869704701118622,0.054
"109","LC",0.00876167049607938,0.0545
"110","LC",0.00882626257348072,0.055
"111","LC",0.0088908232587912,0.0555
"112","LC",0.00895535256741111,0.056
"113","LC",0.00901985051474007,0.0565
"114","LC",0.00908431711617702,0.057
"115","LC",0.00914875238712025,0.0575
"116","LC",0.00921315634296733,0.058
"117","LC",0.00927752899911521,0.0585
"118","LC",0.00934187037096014,0.059
"119","LC",0.00940618047389769,0.0595
"120","LC",0.00947045932332278,0.06
"121","LC",0.00953470693462964,0.0605
"122","LC",0.00959892332321182,0.061
"123","LC",0.00966310850446222,0.0615
"124","LC",0.00972726249377305,0.062
"125","LC",0.00979138530653585,0.0625
"126","LC",0.0098554769581415,0.063
"127","LC",0.00991953746398017,0.0635
"128","LC",0.00998356683944141,0.064
"129","LC",0.0100475650999141,0.0645
"130","LC",0.0101115322607863,0.065
"131","LC",0.0101754683374456,0.0655
"132","LC",0.0102393733452788,0.066
"133","LC",0.0103032472996721,0.0665
"134","LC",0.010367090216011,0.067
"135","LC",0.0104309021096802,0.0675
"136","LC",0.0104946829960639,0.068
"137","LC",0.0105584328905456,0.0685
"138","LC",0.0106221518085081,0.069
"139","LC",0.0106858397653334,0.0695
"140","LC",0.0107494967764031,0.07
"141","LC",0.0108131228570978,0.0705
"142","LC",0.0108767180227977,0.071
"143","LC",0.0109402822888823,0.0715
"144","LC",0.0110038156707302,0.072
"145","LC",0.0110673181837196,0.0725
"146","LC",0.0111307898432278,0.073
"147","LC",0.0111942306646317,0.0735
"148","LC",0.0112576406633071,0.074
"149","LC",0.0113210198546296,0.0745
"150","LC",0.0113843682539739,0.075
"151","LC",0.0114476858767139,0.0755
"152","LC",0.0115109727382231,0.076
"153","LC",0.0115742288538742,0.0765
"154","LC",0.0116374542390391,0.077
"155","LC",0.0117006489090893,0.0775
"156","LC",0.0117638128793953,0.078
"157","LC",0.0118269461653273,0.0785
"158","LC",0.0118900487822545,0.079
"159","LC",0.0119531207455456,0.0795
"160","LC",0.0120161620705685,0.08
"161","LC",0.0120791727726906,0.0805
"162","LC",0.0121421528672785,0.081
"163","LC",0.0122051023696982,0.0815
"164","LC",0.012268021295315,0.082
"165","LC",0.0123309096594935,0.0825
"166","LC",0.0123937674775976,0.083
"167","LC",0.0124565947649905,0.0835
"168","LC",0.012519391537035,0.084
"169","LC",0.0125821578090929,0.0845
"170","LC",0.0126448935965255,0.085
"171","LC",0.0127075989146934,0.0855
"172","LC",0.0127702737789564,0.086
"173","LC",0.0128329182046737,0.0865
"174","LC",0.0128955322072041,0.087
"175","LC",0.0129581158019053,0.0875
"176","LC",0.0130206690041345,0.088
"177","LC",0.0130831918292483,0.0885
"178","LC",0.0131456842926026,0.089
"179","LC",0.0132081464095525,0.0895
"180","LC",0.0132705781954526,0.09
"181","LC",0.0133329796656567,0.0905
"182","LC",0.013395350835518,0.091
"183","LC",0.013457691720389,0.0915
"184","LC",0.0135200023356216,0.092
"185","LC",0.0135822826965668,0.0925
"186","LC",0.0136445328185751,0.093
"187","LC",0.0137067527169965,0.0935
"188","LC",0.0137689424071799,0.094
"189","LC",0.0138311019044739,0.0945
"190","LC",0.0138932312242263,0.095
"191","LC",0.0139553303817841,0.0955
"192","LC",0.0140173993924939,0.096
"193","LC",0.0140794382717013,0.0965
"194","LC",0.0141414470347516,0.097
"195","LC",0.014203425696989,0.0975
"196","LC",0.0142653742737574,0.098
"197","LC",0.0143272927803998,0.0985
"198","LC",0.0143891812322587,0.099
"199","LC",0.0144510396446758,0.0995
"200","LC",0.0145128680329921,0.1
"201","LC",0.014574666412548,0.1005
"202","LC",0.0146364347986832,0.101
"203","LC",0.0146981732067368,0.1015
"204","LC",0.0147598816520472,0.102
"205","LC",0.0148215601499519,0.1025
"206","LC",0.0148832087157882,0.103
"207","LC",0.0149448273648922,0.1035
"208","LC",0.0150064161125997,0.104
"209","LC",0.0150679749742456,0.1045
"210","LC",0.0151295039651644,0.105
"211","LC",0.0151910031006896,0.1055
"212","LC",0.0152524723961542,0.106
"213","LC",0.0153139118668906,0.1065
"214","LC",0.0153753215282304,0.107
"215","LC",0.0154367013955045,0.1075
"216","LC",0.0154980514840432,0.108
"217","LC",0.0155593718091762,0.1085
"218","LC",0.0156206623862323,0.109
"219","LC",0.0156819232305399,0.1095
"220","LC",0.0157431543574266,0.11
"221","LC",0.0158043557822193,0.1105
"222","LC",0.0158655275202441,0.111
"223","LC",0.0159266695868268,0.1115
"224","LC",0.0159877819972922,0.112
"225","LC",0.0160488647669645,0.1125
"226","LC",0.0161099179111673,0.113
"227","LC",0.0161709414452235,0.1135
"228","LC",0.0162319353844553,0.114
"229","LC",0.0162928997441842,0.1145
"230","LC",0.0163538345397311,0.115
"231","LC",0.0164147397864162,0.1155
"232","LC",0.016475615499559,0.116
"233","LC",0.0165364616944784,0.1165
"234","LC",0.0165972783864925,0.117
"235","LC",0.0166580655909188,0.1175
"236","LC",0.0167188233230741,0.118
"237","LC",0.0167795515982747,0.1185
"238","LC",0.016840250431836,0.119
"239","LC",0.0169009198390727,0.1195
